,note,string,finger,position,start,end,start_relative_time,end_relative_time,bow_start,bow_end,contact_bow,vibrato
0,G5,4,2,0,0,0.125,0,120,6,10,-1,0
1,B-5,4,4,0,0.125,0.25,120,120,10,6,1,0
2,G5,4,2,0,0.25,0.375,240,120,6,9,1,0
3,D5,3,3,0,0.375,0.5,360,120,9,5,1,0
4,G5,4,2,0,0.5,0.625,480,120,5,10,1,0
5,D5,3,3,0,0.625,0.75,600,120,10,6,1,0
6,B-4,3,1,0,0.75,0.875,720,120,6,9,1,0
7,D5,3,3,0,0.875,1,840,120,9,5,1,0
8,B-4,3,1,0,1,1.125,960,120,5,10,1,0
9,G4,2,3,0,1.125,1.25,1080,120,10,6,1,0
10,B-4,3,1,0,1.25,1.375,1200,120,6,9,1,0
11,G4,2,3,0,1.375,1.5,1320,120,9,4,1,0
12,D4,2,0,0,1.5,1.625,1440,120,4,9,1,0
13,G4,2,3,0,1.625,1.75,1560,120,9,5,1,0
14,D4,2,0,0,1.75,1.875,1680,120,5,10,1,0
15,B-3,1,2,0,1.875,2,1800,120,10,6,1,0
16,D4,1,4,0,2,2.125,1920,120,6,10,1,0
17,B-3,1,2,0,2.125,2.25,2040,120,10,6,1,0
18,G3,1,0,0,2.25,2.375,2160,120,6,11,1,0
19,B-3,1,2,0,2.375,2.5,2280,120,11,6,1,0
20,D4,2,0,0,2.5,2.625,2400,120,6,10,1,0
21,G4,2,3,0,2.625,2.75,2520,120,10,5,1,0
22,B-4,3,1,0,2.75,2.875,2640,120,5,10,1,0
23,D5,3,3,0,2.875,3,2760,120,10,5,1,0
24,G5,4,2,0,3,3.125,2880,120,5,11,1,0
25,D5,3,3,0,3.125,3.25,3000,120,11,-1,1,0
26,C5,3,2,0,3.25,3.375,3120,120,-1,-1,-1,0
27,B-4,3,1,0,3.375,3.5,3240,120,-1,-1,-1,0
28,A4,3,0,0,3.5,3.625,3360,120,-1,-1,-1,0
29,G4,2,3,0,3.625,3.75,3480,120,-1,3,-1,0
30,F#4,2,2,0,3.75,3.875,3600,120,3,9,1,0
31,D4,2,0,0,3.875,4,3720,120,9,5,1,0
32,F#4,2,2,0,4,4.125,3840,120,5,9,1,0
33,A4,3,0,0,4.125,4.25,3960,120,9,5,1,0
34,D5,3,3,0,4.25,4.375,4080,120,5,10,1,0
35,F#5,4,1,0,4.375,4.5,4200,120,10,5,1,0
36,A5,4,3,0,4.5,4.625,4320,120,5,11,1,0
37,E-5,3,4,0,4.625,4.75,4440,120,11,-1,1,0
38,D5,3,3,0,4.75,4.875,4560,120,-1,-1,-1,0
39,C5,3,2,0,4.875,5,4680,120,-1,-1,-1,0
40,B-4,3,1,0,5,5.125,4800,120,-1,-1,-1,0
41,A4,3,0,0,5.125,5.25,4920,120,-1,3,-1,0
42,G4,2,3,0,5.25,5.375,5040,120,3,8,1,0
43,D4,2,0,0,5.375,5.5,5160,120,8,4,1,0
44,G4,2,3,0,5.5,5.625,5280,120,4,9,1,0
45,B-4,3,1,0,5.625,5.75,5400,120,9,4,1,0
46,D5,3,3,0,5.75,5.875,5520,120,4,8,1,0
