start_time,end_time,note
0.088526077,0.219138322,G5
0.219138322,0.345396825,B-5
0.345396825,0.464399093,G5
0.464399093,0.551473923,D5
0.551473923,0.663219955,G5
0.663219955,0.796734694,D5
0.796734694,0.914285714,B-4
0.914285714,1.020226757,D5
1.020226757,1.134875283,B-4
1.134875283,1.237913832,G4
1.237913832,1.335147392,B-4
1.335147392,1.457052154,G4
1.457052154,1.573151927,D4
1.573151927,1.680544218,G4
1.680544218,1.808253968,D4
1.808253968,1.892426304,B-3
1.892426304,2.044807256,D4
2.044807256,2.113015873,B-3
2.113015873,2.265396825,G3
2.265396825,2.340861678,B-3
2.340861678,,
