num,note,start,end,pitch
0,G5,0.08852607709750568,0.3453968253968254,"[775.1851405332054, 775.9241544777562, 774.6982812640183, 773.570757349405, 773.5372169265963, 775.7537269878267, 777.8123698244508, 779.3308897090958, 781.3042722906866, 782.5178368723784, 782.3745528880914, 782.1230137125975, 782.1022056066722, 781.9946778818435, 782.1775675772947, 782.3004598655434, 781.2781007696066, 780.7732986855638, 779.9859130802848, 779.7509581093572, 779.6003934009709, 779.7511928628464, 779.7826630094098, 780.5890192247005, 781.6736123583275, 782.9675135679726]"
1,B-5,0.21913832199546485,0.4182932515729297,"[944.7213894324358, 924.0454245888247, 925.478055737314, 923.4788442599784, 927.8171794664694, 930.1643195630338, 932.6155257551885, 933.8180849634853, 933.5172013028723, 933.7051531627048, 934.1564142227497, 934.8291597458526, 936.0425779151955, 936.9666353918636, 938.029652157684, 939.6808330581473, 939.4515248907935, 935.6516983176418, 933.1791203314001, 933.4115470081913]"
2,G5,0.3453968253968254,0.5514739229024944,"[776.7085181540837, 779.0192360560671, 779.816526337057, 780.5631338083074, 781.4835125071762, 781.3722408214494, 781.4552974952556, 782.2732191008823, 782.6230209835778, 782.8590409355686, 782.7747425095934, 782.814086942667, 783.1063165350788, 783.4159079070232, 783.262769858456, 782.9152379866422, 781.0337570271097, 778.8575756363452, 779.1182860553282, 779.8540241724351, 779.9861072064335]"
3,D5,0.4643990929705216,0.663219954648526,"[576.8100829275625, 578.5678902607082, 579.5320161204289, 581.7467618109639, 586.0589389553389, 589.4087267515064, 591.077819430342, 590.7253446481039, 589.5938891224306, 589.1515580086631, 588.8135354837011, 588.4042416245187, 587.7799180729098, 587.6292141954385, 588.1255426401708, 588.6414211375421, 588.6364762694653, 587.7882598136729, 587.1426619126499, 586.4924432494444]"
4,G5,0.5514739229024944,0.7274363642170485,"[779.104365993236, 780.6898514117345, 780.2230945784776, 780.6023532909458, 782.2655988559983, 784.3406375920338, 786.4290353745591, 787.3657321145981, 785.6879883557556, 784.8182293351449, 784.1593653030731, 783.6902768468287, 783.5829271633938, 783.8695653578599, 784.8488353098377, 787.0373049797322, 788.8030598251402, 788.7586863231026]"
5,D5,0.663219954648526,0.9142857142857144,"[590.1288440865355, 590.4067510559248, 589.2095829586378, 588.0015086489823, 587.71837171118, 587.6882477602678, 586.8348292797823, 586.8075885438476, 587.550565804114, 588.3630326921179, 588.7237697490856, 588.9636126720758, 588.9512169477679, 588.8281655417015, 588.6608036586945, 588.2721112435332, 588.3012942377571, 588.1738823563919, 587.6887665535388, 587.4436816914473, 587.5006024920938, 587.0446059446551, 587.0619043843451, 587.344433965877, 587.2345121011465, 586.5057755322904]"
6,B-4,0.7967346938775509,1.0202267573696144,"[469.38067363075857, 467.85740507600536, 470.3943496814944, 466.65156700511886, 464.30772285014143, 465.51006627206, 466.08961712727796, 465.93840729181244, 466.12236850321443, 466.30740933662304, 466.620044607757, 466.2153963143181, 465.93164496257646, 465.78830553594224, 464.1833107808012, 463.7926222837881, 464.9733672675577, 465.36492497486245, 464.463758688837, 463.8743420177545, 463.831324923207, 463.71922672128494, 463.61388782196366]"
7,D5,0.9142857142857144,1.2294030851777331,"[588.1807096942414, 590.970550456218, 588.0459203584085, 585.8774018596794, 585.4207444722234, 586.5794515427098, 587.8466481073926, 588.0561422043049, 587.2371985620441, 587.1644681738363, 587.8555396161314, 588.4853030815818, 588.556876794271, 587.7795737077859, 586.9784704905261, 587.3964444686592, 588.31762406312, 588.2188945378588, 587.6045939300996, 586.9333308125123, 586.4899410576479, 586.7675810663151, 587.9417130588117, 588.7755103782863, 588.043762174902, 587.4550441138618, 587.2295751896784, 587.2084903360955, 587.1696650494512, 587.6665509230502, 586.7826904750145, 585.2189324762121]"
8,B-4,1.0202267573696144,1.2379138321995464,"[466.5781319475457, 464.915316249786, 462.2960471215595, 459.03246578062146, 458.59699549645137, 460.3919267623388, 461.53280083349074, 461.7041249113242, 461.8499224760975, 461.62229926027635, 461.6119453615735, 461.92007999987715, 462.4845886926237, 461.8073855305551, 461.0541728800675, 460.91047193662814, 460.6818303927531, 460.8470088472599, 461.5011135826659, 462.53524883842294, 463.6049579526224, 464.3706972684311]"
9,G4,1.1348752834467122,1.3351473922902493,"[385.6445663253607, 384.29977257990924, 385.23585624908526, 386.69332142511024, 389.1222140012209, 390.4292587229103, 390.6547181316188, 390.83780430709203, 391.1562393485524, 390.9978588932517, 390.6930418823373, 389.5737911155627, 388.22937301669674, 386.58535973886353, 384.03757259816075, 384.06844504772914, 386.0074425162669, 388.13613884025995, 389.4235190377186, 389.5582965216676, 389.1458330348414]"
