num,note,start,end,pitch
0,G5,0.08852607709750568,0.3453968253968254,"[777.0535539828725, 774.7321959674084, 775.2174112072895, 775.9622331080415, 776.5533578595205, 778.5484975844906, 781.8559693265595, 783.7987914131936, 784.2115915638012, 783.3345009548091, 782.7725787152851, 782.9381135654983, 783.4476511836384, 783.2904394257412, 783.086987707523, 782.3176140984775, 779.9782787707663, 778.176271778308, 778.6738138538667, 780.3330714654119, 781.8300329356298, 782.9695003518411, 783.1566414014821, 784.070721100305, 783.9895473228796, 785.2873219011772]"
1,B-5,0.21913832199546485,0.4182932515729297,"[941.2963789292239, 890.6011110534406, 904.3680943335748, 920.5198968018071, 928.4637502898898, 931.922803714404, 933.8977223357595, 933.5363105768648, 933.4480963637227, 934.1325632828259, 934.4950912844481, 935.6783217389336, 936.9998051902387, 938.209119394275, 939.6440090050435, 942.0153024865532, 936.6834478457321, 932.4062483835717, 932.9200677753157, 934.7100406920646]"
2,G5,0.3453968253968254,0.5514739229024944,"[793.3287269327286, 791.0690719521955, 786.8706936121494, 784.3835161037712, 782.3617164187212, 782.0677425040179, 783.0281556258252, 783.5971918952637, 783.6700796829462, 783.8544835931201, 783.6855103686298, 783.5789694611998, 783.7837397101622, 783.8259145897364, 783.4072261625752, 783.3168046142134, 778.100955810686, 775.3061574797803, 776.2382797025724, 779.3683076222935, 782.4279108725145]"
3,D5,0.4643990929705216,0.663219954648526,"[584.3134921891356, 582.2481360475924, 585.8121871132264, 588.2593379797654, 589.8156931827724, 590.6313050052844, 589.9952664775865, 588.7182677550003, 588.3335087101866, 588.5091191865946, 589.3303735696928, 589.5937815566101, 588.7350926988306, 588.1971005899886, 588.6889501941404, 588.8892448673445, 588.3822779009602, 588.2473861557934, 588.6889271784369, 589.0558933849711]"
4,G5,0.5514739229024944,0.7274363642170485,"[785.9938982526526, 781.1820886588447, 780.8350921153858, 782.4258255433552, 786.4118049893609, 790.7750224116639, 791.9783192036427, 788.7303683904756, 786.2604679189812, 784.6634802852329, 784.0883390368263, 783.9430320802162, 783.9919189725343, 785.7956501284621, 788.4218249599417, 789.9745966123725, 789.6925754722041, 787.8889907457632]"
5,D5,0.663219954648526,0.9142857142857144,"[590.1649242278769, 588.307784302958, 587.8789717633124, 587.9911983919238, 587.5512634312339, 586.9765002379725, 587.0907972054182, 588.0779616913394, 588.8331358625853, 588.854266638555, 588.5998411292637, 588.6335832591744, 588.6720426826932, 589.1387478288557, 589.362828720702, 588.857559136362, 588.4053495002881, 588.5739382568805, 588.5039513102015, 588.2724232883708, 588.0505467860899, 588.3155724690637, 589.2857290950408, 589.6391689166567, 588.7324595440585, 588.6588064407364]"
6,B-4,0.7967346938775509,1.0202267573696144,"[445.1771296836181, 449.75001356080503, 453.061390448207, 455.45491238234433, 458.41122926265143, 462.1082015342879, 464.6960195903943, 466.4627372497122, 466.90755966800106, 466.19000744678385, 465.20760498675116, 464.13761190420576, 464.1412175421896, 463.1212819952367, 461.65979117373865, 458.38966125157236, 459.05109530490455, 461.08698120122654, 463.04418313930364, 464.2206508690179, 464.8003966764543, 464.25013780769245, 464.0483441398252]"
7,D5,0.9142857142857144,1.2294030851777331,"[584.7862773955115, 584.706096631804, 584.5759246683892, 585.5330208688797, 586.8030671995901, 587.9676292306389, 587.8642166411587, 587.3045262712328, 587.6854686102926, 588.9175538123013, 590.1347866738012, 590.0689975966826, 588.303784322485, 587.4457428195822, 587.8190138038475, 588.2397448587382, 588.0901543495133, 587.933899556203, 587.7725139296658, 587.7578398030475, 588.3663224338721, 588.4863442614666, 587.7637518195459, 588.0742602809605, 588.287531609119, 587.6592675431317, 587.2714059988613, 587.3917930546731, 587.375955035156, 587.4677153739128, 586.7343247937272, 580.4135674028873]"
8,B-4,1.0202267573696144,1.2379138321995464,"[454.11147238355477, 451.76988679201304, 450.09178320310696, 451.72397535093023, 454.44986656595864, 457.7193660146019, 460.7208479376476, 462.44516380236604, 462.8307769348149, 462.17107336070956, 460.98629161142117, 454.0517674943316, 449.0496598144239, 449.41472141589173, 452.96626874419235, 456.16053929842445, 460.02729404613154, 462.70596330179416, 464.3998534213067, 465.26528509590673, 465.81702890988817, 465.70840451538845]"
9,G4,1.1348752834467122,1.3351473922902493,"[386.4473510828356, 385.48236769537743, 387.3690895202887, 388.793439169719, 390.1629867496764, 390.7076720104686, 390.7647278079597, 390.446191756607, 389.96466422958486, 388.6382536122798, 387.30975433375767, 383.24872996996055, 380.28411675856455, 380.98969642591237, 384.1500788680636, 388.1204349335217, 391.32226088107586, 392.85624688507875, 392.6703253922287, 392.02465780094747, 392.08230609394997]"
10,B-4,1.2379138321995464,1.3906837852511895,"[446.3394001647736, 445.5372077465389, 446.0138369636711, 449.50219074906545, 454.3478680897638, 458.3357780316198, 462.24094591634116, 464.6718790484883, 465.6620451262075, 465.7077978747776, 465.81583877523366, 465.9245959910347, 458.41524637666004, 450.0431349783171, 452.39760709219127, 450.9215324345834]"
11,G4,1.3351473922902493,1.5731519274376418,"[394.4532547576109, 392.3147729987587, 390.4379019713482, 387.0291585120119, 384.6273053166394, 383.6060540206912, 386.00011917590416, 388.0238084338952, 389.6607320033984, 390.3459263342483, 390.47363298171, 389.9966957915342, 388.837041356592, 387.7976487682006, 389.77602524875954, 392.54960492594455, 393.2747939879862, 392.0732439944776, 392.0179619115203, 392.9334147199155, 393.43067648596127, 393.29447470962117, 391.950631249287, 391.0020685303212]"
12,D4,1.4570521541950114,1.6805442176870748,"[298.1777872882193, 296.03285388347706, 295.11781093091827, 293.5902750216687, 291.92310863382824, 292.5385933067906, 293.557329505252, 294.3707794257515, 294.91582570517363, 295.96527929198044, 298.0830106604748, 301.5156414201132, 302.22131163680166, 298.3365651080658, 294.82369455538543, 293.6690961423606, 293.8781146853484, 294.8796514909078, 295.4156006251481, 295.202618605607, 294.681195251673, 294.6993141419301, 296.2798871113312]"
13,G4,1.5731519274376418,1.725921880489285,"[401.2110154374718, 398.64946830105396, 392.4452622775356, 390.93905483162837, 388.5627387155068, 388.3950823022704, 389.61317119160435, 391.2222337353229, 392.2494796003679, 392.6895341060561, 390.5998561514956, 387.4323516047232, 383.28343210487105, 380.21820735749077, 385.4243870611176, 386.72892736068036]"
14,D4,1.6805442176870748,1.8924263038548752,"[288.01279799080294, 288.07784519901594, 285.8744623071524, 281.35098419439873, 281.04633299665835, 285.45628179788946, 288.4037780436916, 290.594209654166, 292.1722755243422, 293.9130278681591, 297.1593996853737, 301.9998902176359, 302.969042063708, 296.9819791638107, 293.8192042797511, 293.89583754351463, 294.81797531960166, 295.9397830856762, 296.97807263199775, 297.26887801027, 297.4788321835347, 297.4373183948939]"
15,B-3,1.808253968253968,2.044807256235828,"[236.33236506926423, 236.3446198652412, 235.884072082957, 234.3669999090073, 233.74386255394185, 233.49924307524418, 233.8270399023342, 233.71694350224692, 234.16810930639997, 234.4187896702511, 234.61330582411492, 236.17213929079378, 242.18168950467188, 246.9678378298636, 247.9567726934691, 246.64618690201303, 245.67159979214594, 243.57591341648572, 239.72151434468617, 236.94558771031035, 235.08507510961454, 234.40966252260642, 229.12884418864218, 218.41872748257407]"
16,D4,1.8924263038548752,2.0451962569065185,"[293.99479897112565, 292.2642192940594, 293.0733284852506, 299.13088796589244, 301.8607199751992, 298.77832884671926, 290.4457323278083, 292.0484980883457, 293.7275909069429, 295.3450960520964, 297.01832360541323, 298.50298173590994, 299.772069560302, 300.9802061977081, 302.5749321960013, 304.3479949348978]"
17,B-3,2.044807256235828,2.265396825396825,"[240.06346371177438, 238.49952935042282, 237.48419122945216, 234.88754172607824, 233.22770555030715, 232.57049056002865, 232.4739796144517, 232.87750585808396, 232.73288383749764, 232.62727875723766, 232.18744113738074, 225.6232662944393, 222.0075425545973, 239.28660534483666, 241.07863802855496, 243.4006306768706, 244.2921706127086, 243.35956275026373, 242.21926904548323, 241.89463426138335, 242.37952536907912, 243.14993830594722, 239.2954676103929]"
18,G3,2.113015873015873,2.2657858260675163,"[210.45103112481252, 208.14983916911598, 205.60073423687928, 186.34467153886274, 186.43215381009088, 187.4482277335235, 191.16839364884984, 195.11039526763395, 196.3128464049476, 196.5898788404331, 196.60190811161758, 196.67419202759962, 196.68372377011468, 196.93611639479073, 199.29414624345696, 204.9663597422653]"
19,B-3,2.265396825396825,2.3949742901855577,"[237.53754203255681, 235.86562054008022, 235.10566911205544, 233.69709037251903, 233.2252168706124, 233.14890915123476, 233.5877511386063, 233.90830499735375, 233.85882550393126, 234.19837502880745, 235.4677556069821, 242.2273407948559, 245.40387373786666]"
20,D4,2.340861678004535,2.493631631056178,"[281.8465837779001, 285.40902272774684, 288.2386426939632, 292.6554096192986, 294.8595849841144, 295.221259343182, 294.95353307724986, 294.4971852383376, 294.41893731917816, 294.8046696756753, 295.98733113501675, 298.7258518635978, 301.7503376563299, 303.4745857621155, 301.9961819895242, 297.3185779826451]"
21,G4,2.4598639455782307,2.6822113634186064,"[393.7415964005505, 396.7825250864518, 393.30048985461895, 392.34214301145744, 391.89210500251255, 391.27515483444915, 391.53399132634263, 391.81460659285705, 391.7110017416872, 391.6962915316283, 391.23537509246887, 391.26063182216853, 391.46978884636957, 392.9034665289361, 394.10366104420314, 393.67181083330877, 392.7868724863975, 392.6596669351017, 393.3876523024917, 393.19080369694177, 392.17838166195315, 390.33133401511657, 390.0811829249262]"
22,B-4,2.584671201814059,2.7374411548657016,"[459.69854186177326, 460.01409669381565, 460.83142391810577, 461.99679763339884, 463.8530084872714, 465.7111154715317, 466.801252656531, 467.0554392904665, 465.80835436802045, 464.3781472826105, 462.52479116907296, 460.8221040450346, 459.2951290791424, 452.5629701329858, 488.0147329488526, 484.01049817289686]"
23,D5,2.6819047619047622,2.8908843537414963,"[548.4075300126887, 570.3417827738122, 579.219475556742, 583.6789065594951, 586.5008471428648, 588.5053347376103, 589.1945501995903, 588.9864588371219, 588.6415860408788, 588.1892010955825, 587.8245862203628, 587.9669077337368, 588.5430854181344, 589.010458168152, 589.5328115828581, 590.3043092060319, 589.4021573609544, 588.2164233400993, 587.9208224866596, 588.6617264624857, 589.3835163459685]"
24,G5,2.7994557823129256,2.9522257353645687,"[808.431028124211, 790.7492331075573, 782.8569938448702, 781.758407085819, 782.5098563308541, 782.857358858855, 783.2227549302784, 783.2948282548964, 782.6139614718994, 780.6555005385109, 777.0045227331348, 773.5765291696595, 772.621998574881, 774.3925244219855, 774.3895789281852, 778.0505736785533]"
25,D5,2.8908843537414963,3.1828092363706033,"[597.1868232348077, 598.4994853730454, 597.4448345919968, 586.8522725064936, 586.1320250238596, 586.9652998421323, 587.7846120481272, 588.0929668707385, 588.0145539676009, 588.0136464276616, 588.0814675327658, 588.2659945850952, 588.6459958129676, 588.6922795649405, 588.5748715829329, 589.1878431069895, 589.4839021832959, 588.6085668726463, 588.5742664474066, 589.0829989934384, 589.1505895578741, 588.5756916290633, 588.5186782313341, 588.6610905388353, 588.1055282938303, 587.5426544132296, 586.8501435405407, 586.5904661665552, 581.9494591245283, 580.416143142794]"
26,C5,3.0243990929705213,3.2699389990738084,"[553.5267326275186, 542.03202791073, 532.1850865931156, 527.3602170170551, 525.0989083945286, 523.7874723952938, 522.1480741014759, 521.6958498096293, 522.1968955353408, 522.6834022926645, 522.9824793161365, 523.3336836527211, 523.3642506903911, 523.2440884204456, 522.2639999347371, 520.1834769192483, 518.7375596292806, 518.0262665026415, 519.5996408116064, 522.6728785880367, 524.4962844552366, 525.1809100134456, 526.708962969292, 532.8257617968812, 534.4047668966396]"
27,B-4,3.157913832199547,3.3338762735141008,"[440.30971607660996, 441.76018409202817, 444.8650728227852, 448.5506769246285, 452.40547647955896, 458.0980733913856, 462.26416842180214, 465.63310235509107, 467.388546951702, 468.72679124821946, 465.2661162478428, 453.0977759821433, 451.1973682048193, 449.8762379608228, 447.0489264416475, 446.33065606516084, 448.7092387603244, 452.1267694916103]"
28,A4,3.26530612244898,3.4876535402893567,"[450.5423975149566, 450.8043113025253, 448.15334886133877, 444.49040148567343, 443.0292490667035, 442.5377837112452, 442.7709493941489, 442.35107955630184, 441.27020675321, 440.05972932464056, 438.8340274471785, 438.2603912284352, 437.66470736816126, 437.2748321685581, 438.04262087598966, 438.9936249832065, 439.81108109386105, 440.4066560293782, 440.86612888567254, 442.6616661351037, 443.53259775443627, 439.1226503473174, 434.5737910125978]"
29,G4,3.3872108843537414,3.6095583021941167,"[383.93994587627526, 385.8261883074272, 386.18938742393607, 389.5153160540383, 391.99799103263763, 392.6020774135451, 391.1497542574979, 390.7768107729001, 392.4542557379011, 392.9666483307673, 391.5506050639631, 387.3124183143792, 385.2976373677834, 384.68752571826775, 381.6081460176654, 381.67903712507086, 380.34977621266216, 378.04571992376896, 375.2822383702987, 374.06210552661787, 373.8571270996877, 375.4789671054615, 376.6283134634204]"
30,F#4,3.5033106575963715,3.7558276643990935,"[383.6688546670995, 388.5562671625713, 385.63739193581176, 371.06609765868143, 370.9857764746749, 371.8241207567012, 371.7052905358107, 370.7714143080874, 370.0921181639222, 370.2508566010869, 370.45896414181044, 371.48109579384135, 372.16129584775126, 372.4151969459282, 372.2489292581365, 372.0567622479859, 371.6046609958281, 371.3167067730655, 372.70811475724594, 373.2070379692565, 375.1543381623449, 374.68620593626315, 379.79146812272074, 385.0653547419207, 384.40240410374463, 388.17462398726457]"
31,D4,3.6237641723356,3.776534125387243,"[317.13889126726775, 315.67523654484864, 307.6982434958943, 299.058270411502, 293.16262843054164, 294.11582020722096, 294.09236495055086, 294.1245642793326, 294.3759087947172, 294.9230860015333, 295.5252641416756, 296.37628049523676, 297.9725985761836, 300.34122502942415, 303.2352440967266, 306.48342115815615]"
32,F#4,3.7558276643990935,3.9549825939765584,"[361.28008380509954, 367.606614797106, 372.2670035443937, 373.6920760013897, 375.35903702134215, 374.98431622838757, 374.27204850019393, 372.8850711781554, 371.95582451386224, 371.01097377403, 370.7160936123172, 370.7096854815543, 371.26840380433777, 371.6075118769555, 371.2876607900086, 370.7646997836347, 370.6604466674392, 371.33153589512926, 371.14039831115633, 372.3993938848438]"
33,A4,3.861768707482993,4.084116125323368,"[452.45341455293976, 446.9940471820934, 438.9148433558773, 436.76172494432217, 436.7955924346047, 437.798372239923, 439.1331554665123, 439.75400526809216, 440.1456710213028, 440.1626476834059, 439.8754798874102, 439.79946566616627, 439.6651935314071, 439.5249786922859, 439.63804362648006, 439.2845946535453, 440.453735115591, 441.4009233589647, 441.2480169750663, 441.6382062509279, 443.0249255378396, 445.7621818361308, 449.4782927116972]"
34,D5,3.9909297052154193,4.120507170004151,"[576.5514188159234, 584.6235958576902, 587.4137078760302, 588.7850643286349, 588.812304531211, 588.1455590991908, 587.9380823492962, 588.2959945310723, 588.5124224814325, 588.9405464174554, 589.5935831827851, 589.4857597584394, 587.4611449345655]"
35,F#5,4.067845804988663,4.1974232697773965,"[752.6335586913729, 751.5706726106212, 764.312943859605, 758.3415231525676, 746.9409784558966, 742.8380076699176, 743.4130169134314, 743.6656760449293, 743.070009084447, 742.6440825755376, 742.9387102760543, 743.8023496065746, 744.665244181663]"
36,A5,4.175238095238095,4.420778001341381,"[935.2345643491949, 927.6055919766602, 882.7433911550088, 880.3095567042982, 879.4118310584462, 880.9362101532805, 884.2290177591431, 886.0773970587876, 884.1972081372, 883.344775378053, 881.4402195698951, 875.5730714513867, 876.2378514374063, 880.5367677485503, 885.681164419321, 889.7951125876809, 895.7136672019589, 915.4361478910552, 892.0929257812959, 880.8818334026386, 877.4241526903122, 882.0185933656284, 886.710023151395, 892.7856339270202, 899.0251085094241]"
37,E-5,4.317460317460317,4.493422758774871,"[589.1143933867243, 586.2384377622277, 588.6829666890621, 600.9780407975563, 608.9475625702694, 612.9105816887331, 618.3594201085283, 622.315206803096, 623.5650434079523, 623.5715397919805, 623.7791171471748, 623.8150178072771, 621.5247454823727, 609.633901504742, 604.3250587561646, 603.114916319179, 603.901747024466, 601.8310860116676]"
38,D5,4.450975056689343,4.719707451055539,"[591.3598467404865, 593.0464998677223, 592.3488689512488, 591.2647564817339, 590.1514677682152, 590.3741384235824, 589.9344792160679, 589.3167233356131, 589.2610065210433, 589.3612162711294, 589.1735793401251, 589.3339432010815, 590.162919645512, 590.2646053813065, 589.6045182782111, 589.6990804055935, 590.2737673864922, 590.3574252738766, 589.7737906594933, 589.0982510914184, 588.8137709746684, 589.394929839308, 588.9699737740683, 586.6087796069594, 583.6345630306859, 584.0320975138685, 587.7322519720013]"
39,C5,4.565623582766441,4.741586024080996,"[525.3865666419761, 527.5222543030083, 530.2635981035172, 531.048033689953, 530.1646022479033, 529.5288368869043, 529.0836867993332, 528.5456844163224, 528.5519046321997, 528.7673746721979, 529.4519329859755, 529.5864332081329, 530.1101065304251, 530.9579411772039, 531.737090005709, 532.7976577844875, 532.6107706774349, 533.0698446402579]"
40,B-4,4.6918820861678014,4.775074574430712,"[468.70414582090996, 462.8959127034465, 459.59141201697804, 460.63226004705086, 462.970695024251, 466.3744799762225, 468.7417813976342, 472.063531859153, 470.47601483315935]"
41,A4,4.771700680272108,4.994048098112484,"[458.38358732925894, 460.8947231878118, 459.0246688143915, 451.568652005598, 446.4809487732176, 444.69125657650034, 443.2065779392482, 442.09948678665114, 441.5266959801695, 440.67551678700204, 439.7863783260067, 439.0058002273115, 439.1588630909838, 439.5754933718186, 439.4240682248933, 439.1447509011633, 439.3456217605723, 439.81650484914576, 440.90856760958394, 440.82501339641806, 442.87287907570766, 447.9843753144684, 447.5776271883459]"
42,G4,4.934240362811791,5.1722448979591835,"[396.15386860975684, 396.69431349662625, 396.38707727785913, 395.9757651844549, 395.5058816406409, 394.57132695400105, 393.37295181190837, 392.98291816936404, 393.0996216457469, 393.66565419972795, 394.2165850119465, 395.2646869130357, 396.17464257817767, 396.00610414886785, 395.4569873713199, 395.2325496068002, 394.80806153776246, 394.40190216439646, 393.6935968448015, 393.5812629443396, 393.7783812595682, 394.32770905618605, 394.3730857452199, 395.13433510615044]"
43,D4,5.0561451247165525,5.2089150777681965,"[276.27126744071495, 287.54838713044035, 297.00979035785974, 295.8614995995789, 295.83079752365245, 295.4357797103684, 294.9276589521105, 294.54363228004223, 294.6754942322015, 295.17469293435255, 296.1101311483967, 298.07067798294764, 301.1800680968722, 304.5455857463758, 306.1820698201166, 303.815062445269]"
44,G4,5.172244897959184,5.510554757114114,"[396.360132562976, 394.99352366193625, 393.0866160504842, 392.12942354514246, 391.4824424300879, 391.106296926761, 390.86271428807714, 390.62303022052816, 389.8636218937463, 389.2184032432725, 387.7979631486377, 385.9631034779761, 384.1798615481844, 384.1438585941802, 384.3641516031169, 385.197114340186, 386.61533649637283, 389.1209030493247, 391.8046975063558, 393.4203181682548, 394.169827161728, 394.29739411031306, 393.4099045114801, 392.28897018162337, 391.3491642780871, 390.8647969932943, 390.44086934915936, 390.31158741323054, 389.43628439059535, 387.743654198341, 386.35389604670274, 385.7352826556852, 389.4728776439889, 396.8254239579411]"
45,B-4,5.291247165532878,5.444017118584522,"[454.00790077938586, 453.74116517021383, 454.2682290375615, 456.387755992458, 459.62587241181245, 462.8391419106756, 466.2983319921375, 467.2094564349662, 466.25995223707264, 464.12940801498405, 464.1680358156709, 465.1202475844628, 467.0396064953271, 468.7141002575304, 466.2465918237453, 466.6754607294298]"
46,D5,5.401541950113379,5.554311903165021,"[563.0101229747519, 577.2916373773911, 586.156348913808, 588.8715105727001, 590.5843155363182, 591.5658861734083, 590.9857888182498, 590.3445150641246, 589.7879783479261, 589.0751149811331, 588.1910121208332, 586.8816213130136, 587.1461947635495, 589.5581424073368, 591.5301519660709, 589.3731525141473]"
47,G5,5.510385487528344,5.757097505668933,"[830.9300249978288, 824.3051989710802, 782.9284756480296, 779.6681502251918, 781.3940030781532, 782.5233155358771, 783.66152285759, 784.1407248433773, 784.2781217010609, 783.8234158708067, 783.8106423313963, 783.987649523714, 784.8513913351715, 787.2991498832613, 788.2688851035538, 786.2080141143772, 786.5808739106669, 789.3312563870846, 787.6788923228793, 782.6204743407136, 779.6707058144727, 784.3998293874151, 784.5544155694374, 784.8503747478197, 789.5188820539036]"
48,B-5,5.616326530612245,5.83867394845262,"[895.0689340376136, 889.5533976165058, 889.3107056410695, 896.5013178394952, 931.6902180158571, 934.4170615876827, 935.5070658441061, 934.4718917459273, 933.4766767114592, 933.4665161232058, 933.5967984712642, 933.8889864669607, 934.4283644535692, 934.0827935983139, 933.708891177341, 932.6961556224066, 931.9050593300099, 931.013635532895, 931.4372442161996, 933.0065621158434, 932.8643797639239, 934.5866799531084, 936.8077481778238]"
49,G5,5.757097505668934,5.933059946983487,"[794.3221990843379, 787.0241517813158, 781.1064816577407, 781.0601835574805, 784.1637119596567, 785.1932593064678, 785.9828569556059, 786.7420163486298, 787.2006225008209, 786.9435352904572, 786.6031836883328, 785.8812700692324, 784.9137685636465, 786.0398792564806, 788.7098697942583, 793.0094090670747, 794.8457626617738, 802.1858544358502]"
50,E-5,5.899319727891156,6.105396825396825,"[600.8813268138477, 601.728087790936, 608.3986457596254, 617.6054375841328, 620.3810717268415, 622.3572474247495, 623.394684334472, 623.6989729490689, 623.6209728244766, 622.9002899743394, 618.1407124871212, 618.6139466223577, 626.0940005184535, 624.8170500090235, 625.3739590176378, 624.7711000771801, 622.7743777037527, 621.4276103582845, 619.9837046410041, 625.40866151916, 626.8925498888474]"
51,C5,5.998004535147393,6.220351952987768,"[540.3425149781665, 527.5490780082122, 525.4041994224011, 522.4805596672529, 522.11910050897, 523.473987133319, 524.247381810381, 524.7699894234279, 524.7125202424016, 524.5928444056609, 524.3586060733664, 524.031044435086, 522.8099337951883, 519.5784973730118, 519.1276991258313, 521.9550778792358, 523.1719917900173, 522.3369541451742, 520.6992497972225, 518.4974862345376, 516.8005390820891, 518.9552404294969, 523.0181252730017]"
52,E-5,6.105396825396825,6.234974290185558,"[652.9561097126965, 595.5852970040796, 615.9798942653745, 615.9114560056618, 618.4621430398266, 620.7019914718919, 622.2848558616822, 623.8070362913585, 624.2876753332133, 624.4506064840191, 625.0026199903474, 625.7623174908025, 629.6412129975112]"
53,G5,6.225850340136055,6.401812781450609,"[787.8455222337559, 781.0860284878047, 782.2668340230167, 783.8830630249386, 785.6375874537341, 786.2011635755106, 786.067536678748, 785.9128571613065, 785.5495350609347, 785.2562039745163, 785.1551552488883, 785.0662951952404, 785.2565839197662, 786.0304962005614, 787.1081126467298, 786.2986580850154, 784.6753009743462, 781.5900354818335]"
54,A5,6.346303854875282,6.4990738079269255,"[825.7181069051146, 829.0409677961754, 872.6473624371238, 876.321291461545, 881.9664237074903, 885.5977323114453, 887.4723928755974, 885.0993586367533, 882.4491510349618, 883.1574665834643, 886.2550689942345, 890.2542860667223, 889.5103382819763, 888.2126396568323, 883.2580202118437, 878.2031359372057]"
