,note,start_time,duration,velocity,tempo
0,F#5,3.75,0.25,100,250
1,B4,4,0.25,100,250
2,D5,4.25,0.25,100,250
3,F#5,4.5,0.25,100,250
4,B5,4.75,0.25,100,250
5,G5,5,0.25,100,250
6,E5,5.25,0.25,100,250
7,C#5,5.5,0.25,100,250
8,E5,5.75,0.25,100,250
9,B-4,6,0.25,100,250
10,G5,6.25,0.25,100,250
11,F#5,6.5,0.25,100,250
12,E5,6.75,0.25,100,250
13,D5,7,0.25,100,250
14,B4,7.25,0.25,100,250
15,F#4,7.5,0.25,100,250
16,A4,7.75,0.25,100,250
17,G4,8,0.25,100,250
18,F#5,8.25,0.25,100,250
19,E5,8.5,0.25,100,250
20,D5,8.75,0.25,100,250
21,C#5,9,0.25,100,250
22,E5,9.25,0.25,100,250
23,G5,9.5,0.25,100,250
24,B4,9.75,0.25,100,250
25,B-4,10,0.25,100,250
26,C#5,10.25,0.25,100,250
27,F#4,10.5,0.25,100,250
28,E4,10.75,0.25,100,250
29,D4,11,0.25,100,250
30,B4,11.25,0.25,100,250
31,C#4,11.5,0.25,100,250
32,C#5,11.75,0.25,100,250
33,D5,12,0.25,100,250
34,F#4,12.25,0.25,100,250
35,B3,12.5,0.25,100,250
36,C#4,12.75,0.25,100,250
37,D4,13,0.25,100,250
38,E4,13.25,0.25,100,250
39,F#4,13.5,0.25,100,250
40,G4,13.75,0.25,100,250
41,A4,14,0.25,100,250
42,D4,14.25,0.25,100,250
43,F#4,14.5,0.25,100,250
44,A4,14.75,0.25,100,250
45,D5,15,0.25,100,250
46,E5,15.25,0.25,100,250
47,F#5,15.5,0.25,100,250
48,A4,15.75,0.25,100,250
49,B4,16,0.25,100,250
50,G4,16.25,0.25,100,250
51,B4,16.5,0.25,100,250
52,D5,16.75,0.25,100,250
53,G5,17,0.25,100,250
54,B4,17.25,0.25,100,250
55,G4,17.5,0.25,100,250
56,E4,17.75,0.25,100,250
57,C#4,18,0.25,100,250
58,E4,18.25,0.25,100,250
59,A4,18.5,0.25,100,250
60,G5,18.75,0.25,100,250
61,F#5,19,0.25,100,250
62,D4,19.25,0.25,100,250
63,G4,19.5,0.25,100,250
64,E5,19.75,0.25,100,250
65,C#5,20,0.25,100,250
66,A4,20.25,0.25,100,250
67,C#5,20.5,0.25,100,250
68,E5,20.75,0.25,100,250
69,A5,21,0.25,100,250
70,C5,21.25,0.25,100,250
71,A4,21.5,0.25,100,250
72,F#4,21.75,0.25,100,250
73,E-4,22,0.25,100,250
74,F#4,22.25,0.25,100,250
75,B4,22.5,0.25,100,250
76,F#5,22.75,0.25,100,250
77,A5,23,0.25,100,250
78,C6,23.25,0.25,100,250
79,B5,23.5,0.25,100,250
80,A5,23.75,0.25,100,250
81,G5,24,0.25,100,250
82,B5,24.25,0.25,100,250
83,G5,24.5,0.25,100,250
84,E5,24.75,0.25,100,250
85,B4,25,0.25,100,250
86,D5,25.25,0.25,100,250
87,C#5,25.5,0.25,100,250
88,B4,25.75,0.25,100,250
89,B-4,26,0.25,100,250
90,G5,26.25,0.25,100,250
91,F#5,26.5,0.25,100,250
92,E4,26.75,0.25,100,250
93,D4,27,0.25,100,250
94,F#4,27.25,0.25,100,250
95,B4,27.5,0.25,100,250
96,D5,27.75,0.25,100,250
97,G#4,28,0.25,100,250
98,F#5,28.25,0.25,100,250
99,E5,28.5,0.25,100,250
100,D4,28.75,0.25,100,250
101,C#4,29,0.25,100,250
102,E4,29.25,0.25,100,250
103,G4,29.5,0.25,100,250
104,B3,29.75,0.25,100,250
105,B-3,30,0.25,100,250
106,F#4,30.25,0.25,100,250
107,C#5,30.5,0.25,100,250
108,E5,30.75,0.25,100,250
109,D5,31,0.25,100,250
110,F#4,31.25,0.25,100,250
111,B3,31.5,0.25,100,250
112,D5,31.75,0.25,100,250
113,C#5,32,0.25,100,250
114,F#5,32.25,0.25,100,250
115,C#5,32.5,0.25,100,250
116,B-4,32.75,0.25,100,250
117,F#4,33,0.25,100,250
118,B-4,33.25,0.25,100,250
119,C#5,33.5,0.25,100,250
120,E4,33.75,0.25,100,250
121,D4,34,0.25,100,250
122,F#5,34.25,0.25,100,250
123,D5,34.5,0.25,100,250
124,B4,34.75,0.25,100,250
125,G#4,35,0.25,100,250
126,B4,35.25,0.25,100,250
127,E5,35.5,0.25,100,250
128,B-4,35.75,0.25,100,250
129,B4,36,0.25,100,250
130,E5,36.25,0.25,100,250
131,F#5,36.5,0.25,100,250
132,C#5,36.75,0.25,100,250
133,D5,37,0.25,100,250
134,B4,37.25,0.25,100,250
135,G#5,37.5,0.25,100,250
136,B4,37.75,0.25,100,250
137,F4,38,0.25,100,250
138,C#5,38.25,0.25,100,250
139,B5,38.5,0.25,100,250
140,G#5,38.75,0.25,100,250
141,A5,39,0.25,100,250
142,C#5,39.25,0.25,100,250
143,F#4,39.5,0.25,100,250
144,A5,39.75,0.25,100,250
145,G#5,40,0.25,100,250
146,C#5,40.25,0.25,100,250
147,F5,40.5,0.25,100,250
148,G#5,40.75,0.25,100,250
149,C#6,41,0.25,100,250
150,E5,41.25,0.25,100,250
151,B-4,41.5,0.25,100,250
152,E5,41.75,0.25,100,250
153,B3,42,0.25,100,250
154,F#4,42.25,0.25,100,250
155,E5,42.5,0.25,100,250
156,C#5,42.75,0.25,100,250
157,D5,43,0.25,100,250
158,F#5,43.25,0.25,100,250
159,B5,43.5,0.25,100,250
160,C#6,43.75,0.25,100,250
161,D6,44,0.25,100,250
162,F5,44.25,0.25,100,250
163,G#4,44.5,0.25,100,250
164,F5,44.75,0.25,100,250
165,C#4,45,0.25,100,250
166,D6,45.25,0.25,100,250
167,F5,45.5,0.25,100,250
168,C#6,45.75,0.25,100,250
