num,start,note
0,1.875,F#5
1,2.0,B4
2,2.125,D5
3,2.25,F#5
4,2.375,B5
5,2.5,G5
6,2.625,E5
7,2.75,C#5
8,2.875,E5
9,3.0,A#4
10,3.125,G5
11,3.25,F#5
12,3.375,E5
13,3.5,D5
14,3.625,B4
15,3.75,F#4
16,3.875,A4
17,4.0,G4
18,4.125,F#5
19,4.25,E5
20,4.375,D5
21,4.5,C#5
22,4.625,E5
23,4.75,G5
24,4.875,B4
25,5.0,A#4
26,5.125,C#5
27,5.25,F#4
28,5.375,E4
29,5.5,D4
30,5.625,B4
31,5.75,C#4
32,5.875,C#5
33,6.0,D5
34,6.125,F#4
35,6.25,B3
36,6.375,C#4
37,6.5,D4
38,6.625,E4
39,6.75,F#4
40,6.875,G4
41,7.0,A4
42,7.125,D4
43,7.25,F#4
44,7.375,A4
45,7.5,D5
46,7.625,E5
47,7.75,F#5
48,7.875,A4
49,8.0,B4
50,8.125,G4
51,8.25,B4
52,8.375,D5
53,8.5,G5
54,8.625,B4
55,8.75,G4
56,8.875,E4
57,9.0,C#4
58,9.125,E4
59,9.25,A4
60,9.375,G5
61,9.5,F#5
62,9.625,D4
63,9.75,G4
64,9.875,E5
65,10.0,C#5
66,10.125,A4
67,10.25,C#5
68,10.375,E5
69,10.5,A5
70,10.625,C5
71,10.75,A4
72,10.875,F#4
73,11.0,D#4
74,11.125,F#4
75,11.25,B4
76,11.375,F#5
77,11.5,A5
78,11.625,C6
79,11.75,B5
80,11.875,A5
81,12.0,G5
82,12.125,B5
83,12.25,G5
84,12.375,E5
85,12.5,B4
86,12.625,D5
87,12.75,C#5
88,12.875,B4
89,13.0,A#4
90,13.125,G5
91,13.25,F#5
92,13.375,E4
93,13.5,D4
94,13.625,F#4
95,13.75,B4
96,13.875,D5
97,14.0,G#4
98,14.125,F#5
99,14.25,E5
100,14.375,D4
101,14.5,C#4
102,14.625,E4
103,14.75,G4
104,14.875,B3
105,15.0,A#3
106,15.125,F#4
107,15.25,C#5
108,15.375,E5
109,15.5,D5
110,15.625,F#4
111,15.75,B3
112,15.875,D5
113,16.0,C#5
114,16.125,F#5
115,16.25,C#5
116,16.375,A#4
117,16.5,F#4
118,16.625,A#4
119,16.75,C#5
120,16.875,E4
121,17.0,D4
122,17.125,F#5
123,17.25,D5
124,17.375,B4
125,17.5,G#4
126,17.625,B4
127,17.75,E5
128,17.875,A#4
129,18.0,B4
130,18.125,E5
131,18.25,F#5
132,18.375,C#5
133,18.5,D5
134,18.625,B4
135,18.75,G#5
136,18.875,B4
137,19.0,F4
138,19.125,C#5
139,19.25,B5
140,19.375,G#5
141,19.5,A5
142,19.625,C#5
143,19.75,F#4
144,19.875,A5
145,20.0,G#5
146,20.125,C#5
147,20.25,F5
148,20.375,G#5
149,20.5,C#6
150,20.625,E5
151,20.75,A#4
152,20.875,E5
153,21.0,B3
154,21.125,F#4
155,21.25,E5
156,21.375,C#5
157,21.5,D5
158,21.625,F#5
159,21.75,B5
160,21.875,C#6
161,22.0,D6
162,22.125,F5
163,22.25,G#4
164,22.375,F5
165,22.5,C#4
166,22.625,D6
167,22.75,F5
168,22.875,C#6
169,23.0,B5
170,23.125,A5
171,23.25,G#5
172,23.375,F#5
173,23.5,C#5
174,23.625,F#5
175,23.75,G#5
176,23.875,F5
177,24.0,F#5
178,24.125,C#5
179,24.25,A#4
180,24.375,E5
181,24.5,D5
182,24.625,F4
183,24.75,G#4
184,24.875,B4
185,25.0,A#4
186,25.125,F#4
187,25.25,A#4
188,25.375,C#5
189,25.5,F#5
190,25.875,F#5
